"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
665833,"Cruz, Oneil","L","78.80644826",33.43622881867995,9.180805133104984,-7.276677028918449,0.4781021897810218,7.522982007124128,35.36673588309376,27.843753875969632,26.716537605901298,822
691406,"Caminero, Junior","R","78.584840581",26.203443087875005,8.005418178547595,-5.361446158391791,0.5970961887477313,7.7034855656415635,35.97456743958034,28.271081873938783,28.619380986893578,1102
691023,"Walker, Jordan","R","78.069257522",31.41535929585457,6.175581936973643,-5.3248204428916095,0.4766763848396502,6.269504102845827,30.065739970239466,23.796235867393637,31.757730041018494,686
666176,"Adell, Jo","R","77.613888062",33.82998979987916,7.995368341816653,-5.874203568643218,0.4951550387596898,0.06296637958043114,26.147007207224814,26.08404082764438,28.094988596885646,1032
656941,"Schwarber, Kyle","L","77.337695513",30.311409167962093,14.57161466746901,-5.779752954415326,0.6432953549517967,12.34183758111751,33.41729998490294,21.075462403785433,25.30040937829351,1141
701762,"Kurtz, Nick","L","77.204379361",39.1104098615189,14.330573769698923,1.6716152292885111,0.4775510204081634,1.3931319648773073,24.822705110219815,23.42957314534251,27.742097941049924,735
592450,"Judge, Aaron","R","76.992197803",38.425818682905586,14.07929036350316,-6.045215135255591,0.5083743842364533,4.3164197104962465,30.55469974686863,26.238280036372377,33.0966693772987,1015
665489,"Guerrero Jr., Vladimir","R","76.664724839",27.404558718151673,1.22232611889216,-4.39258399307113,0.30513918629550335,6.5615582592983115,34.41520253972093,27.853644280422614,28.990624699773424,934
670242,"Wallner, Matt","L","76.567157042",28.221171638203618,12.50809010591354,-6.206166173680729,0.5656565656565654,10.569006066341608,37.33370608423179,26.76470001789019,31.355995478505463,693
677594,"Rodríguez, Julio","R","76.446710082",31.730350620932334,6.924711056086604,-1.4836659627500637,0.4633744855967081,11.979046948282097,32.3038286385077,20.3247816902256,29.70797626783075,1215
660670,"Acuña Jr., Ronald","R","76.414268656",38.71279583046433,11.874335218131353,6.162005269424574,0.5091937765205092,-1.070137545930922,30.199998845873598,31.270136391804524,25.480626678605628,707
695578,"Wood, James","L","76.045597784",39.68235698455727,11.10130858710379,1.91916820440873,0.4188532555879494,1.7085815559659774,32.678039545533544,30.96945798956755,30.134068159749027,1029
575929,"Contreras, Willson","R","75.993222084",32.781486994271745,9.4311763013812,-1.7685739332794088,0.4730021598272139,5.32761652471282,27.94332223199666,22.615705707283844,30.312338760464563,926
680718,"Barger, Addison","L","75.938535076",28.801649060033675,9.064887215451638,-5.021122858241449,0.5110593713620489,-1.6527553120297491,31.546048578253455,33.198803890283195,25.480398923771965,859
663586,"Riley, Austin","R","75.887103088",32.17117294195419,10.839407652554556,-4.470596731919,0.45625000000000016,6.746037709035647,35.58461162045766,28.83857391142201,28.16567080138169,800
660821,"Sánchez, Jesús","L","75.853011942",27.838721321789475,7.169519224218952,-1.910742173516216,0.48321342925659483,8.773330049978753,35.11053202577249,26.337201975793754,28.416575503554608,834
660271,"Ohtani, Shohei","L","75.837303019",36.93842379700987,15.02690891436196,-2.0122621931191156,0.5314136125654451,-1.3852801265703087,27.60391648198536,28.989196608555662,31.93251849541756,1146
673357,"Robert Jr., Luis","R","75.613043555",36.51806479647003,12.1672089687733,-5.1738752679128845,0.5394190871369294,-0.8051525489196162,30.48367470064927,31.288827249568886,27.195697144361745,723
682985,"Greene, Riley","L","75.60623192",44.61240496741287,13.875298233031204,1.2343969771376593,0.43585657370517933,2.154543378560306,32.030763090959056,29.876219712398743,24.652797116024743,1255
683002,"Henderson, Gunnar","L","75.357449345",29.060276811190057,8.459509392575415,1.0096017211370083,0.5088868101029,6.727806670860217,33.40817369411439,26.680367023254163,25.810926706737938,1069
686948,"Baldwin, Drake","L","75.302231992",31.688992227815913,9.352265242318646,3.150125453121585,0.4807197943444728,2.1463285644909615,28.71950172133978,26.573173156848814,28.21612681122981,778
624413,"Alonso, Pete","R","75.256778967",33.82423462296146,10.120207279092044,1.0611599501945446,0.5984112974404235,3.865574349701243,28.26339091891313,24.397816569211898,27.142813707928422,1133
663728,"Raleigh, Cal","R","75.247346749",34.32467201860296,17.900682628366823,-8.284740079953593,0.45123839009287925,7.5318720054660036,35.9898631769859,28.45799117151992,24.48622012840116,1292
682663,"Ramírez, Agustín","R","75.23016891",25.177125204980644,7.312355851393983,-2.9123820326867644,0.5322751322751323,2.081142921495337,30.343104752967445,28.26196183147211,30.154808550845015,945
663624,"Mountcastle, Ryan","R","75.208351186",36.0234256477173,7.231839492010802,-0.885639558557251,0.4028571428571429,1.9135380756983413,27.492021320732807,25.57848324503447,31.11244504709477,700
672356,"Arias, Gabriel","R","75.07646303",29.07604523061735,9.727772887340215,1.203260471115648,0.5367727771679472,5.266487707361551,34.410518262484615,29.14403055512306,35.60733784624776,911
621439,"Buxton, Byron","R","75.034829251",34.03725896491301,14.115132053393253,-6.234144958528194,0.5792291220556746,4.675556076565209,28.24010095412069,23.564544877555488,27.76455611120241,934
669065,"Stowers, Kyle","L","75.003284631",33.870218678222756,11.619666485816563,0.31328232926442595,0.5233415233415234,1.8863901192779537,31.49500449047529,29.608614371197334,29.310556791584723,814
656305,"Chapman, Matt","R","74.95186142",25.350092588736736,5.599078882144629,-3.8344804708417706,0.5327669902912624,-0.9418090921027272,27.4435283709815,28.385337463084227,29.811188494701337,824
