"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
665833,"Cruz, Oneil",822,0.906284454244763,556,"78.80644826",0.7846715328467152,0.32194244604316546,0.21776155717761558,0.24820143884892087,0.1678832116788321,"7.7619882",19,-21.80616201134558,266,0.3236009732360097,273,0.33211678832116787
691406,"Caminero, Junior",1102,0.9069958847736626,851,"78.584840581",0.813067150635209,0.2890716803760282,0.22323049001814882,0.22209165687426558,0.17150635208711434,"8.420028167",21,1.9325280221083005,251,0.2277676950998185,432,0.39201451905626133
691023,"Walker, Jordan",686,0.9050131926121372,465,"78.069257522",0.7784256559766763,0.26666666666666666,0.18075801749271136,0.2,0.13556851311953352,"8.258906224",21,-19.17202675204771,221,0.32215743440233235,231,0.336734693877551
666176,"Adell, Jo",1032,0.9028871391076115,779,"77.613888062",0.7335271317829458,0.26187419768934533,0.19767441860465115,0.19127086007702182,0.14437984496124032,"7.728556453",30,0.625141113607655,253,0.2451550387596899,354,0.3430232558139535
656941,"Schwarber, Kyle",1141,0.8998422712933754,807,"77.337695513",0.7721297107800176,0.322180916976456,0.22787028921998248,0.24659231722428748,0.17440841367221735,"7.531078869",51,10.801731236944935,334,0.2927256792287467,385,0.3374233128834356
701762,"Kurtz, Nick",735,0.9096534653465347,490,"77.204379361",0.725170068027211,0.29183673469387755,0.1945578231292517,0.22040816326530613,0.1469387755102041,"7.711152299",18,22.708436810078336,245,0.3333333333333333,243,0.3306122448979592
592450,"Judge, Aaron",1015,0.9022222222222223,685,"76.992197803",0.7162561576354679,0.3416058394160584,0.23054187192118228,0.2510948905109489,0.16945812807881774,"8.109203547",35,34.11397925368611,330,0.3251231527093596,347,0.341871921182266
665489,"Guerrero Jr., Vladimir",934,0.912109375,740,"76.664724839",0.6766595289079228,0.3689189189189189,0.29229122055674517,0.2554054054054054,0.20235546038543897,"7.63105727",8,5.309378776785387,194,0.20770877944325483,458,0.49036402569593146
670242,"Wallner, Matt",693,0.90234375,448,"76.567157042",0.6854256854256856,0.25223214285714285,0.16305916305916307,0.16964285714285715,0.10966810966810966,"7.422964863",21,-3.70836670440399,245,0.35353535353535354,204,0.2943722943722944
677594,"Rodríguez, Julio",1215,0.9046909903201787,885,"76.446710082",0.6395061728395061,0.3096045197740113,0.22551440329218106,0.19887005649717515,0.1448559670781893,"7.675602675",19,-2.6989282677549413,330,0.2716049382716049,460,0.3786008230452675
660670,"Acuña Jr., Ronald",707,0.8994910941475827,502,"76.414268656",0.6732673267326732,0.28286852589641437,0.20084865629420084,0.199203187250996,0.14144271570014144,"7.593044752",17,1.8726292018507853,205,0.28995756718529,226,0.31966053748231965
695578,"Wood, James",1029,0.901840490797546,721,"76.045597784",0.6268221574344025,0.3356449375866852,0.23517978620019436,0.2274618585298197,0.15937803692905733,"7.660401516",44,-1.2102944534998468,308,0.29931972789115646,353,0.3430515063168124
575929,"Contreras, Willson",926,0.9034146341463415,666,"75.993222084",0.620950323974082,0.2912912912912913,0.20950323974082075,0.1831831831831832,0.13174946004319654,"7.962314244",14,-10.232874256558684,260,0.28077753779697623,319,0.3444924406047516
680718,"Barger, Addison",859,0.9070749736008448,645,"75.938535076",0.6263096623981372,0.30697674418604654,0.23050058207217694,0.2062015503875969,0.1548311990686845,"7.657406962",7,-13.194447234421027,214,0.24912689173457508,318,0.370197904540163
663586,"Riley, Austin",800,0.9019165727170236,577,"75.887103088",0.6050000000000001,0.2755632582322357,0.19875,0.1923743500866551,0.13875,"7.567306888",18,-14.153772178770494,223,0.27875,265,0.33125
660821,"Sánchez, Jesús",834,0.9065217391304348,626,"75.853011942",0.5863309352517987,0.30670926517571884,0.2302158273381295,0.1853035143769968,0.13908872901678657,"6.920167854",14,-25.94718875727498,208,0.24940047961630696,319,0.3824940047961631
660271,"Ohtani, Shohei",1146,0.9037854889589906,785,"75.837303019",0.6178010471204191,0.3630573248407643,0.2486910994764398,0.2585987261146497,0.17713787085514834,"7.931339005",13,24.356984087336055,361,0.3150087260034904,387,0.337696335078534
673357,"Robert Jr., Luis",723,0.9026217228464419,518,"75.613043555",0.5739972337482713,0.28378378378378377,0.2033195020746888,0.1640926640926641,0.11756569847856155,"7.81207177",19,-14.91581521317575,205,0.2835408022130014,257,0.355463347164592
682985,"Greene, Riley",1255,0.9074475777295734,866,"75.60623192",0.5721115537848607,0.24595842956120093,0.1697211155378486,0.151270207852194,0.10438247011952191,"7.274556876",6,-13.158082701051246,389,0.3099601593625498,359,0.2860557768924303
683002,"Henderson, Gunnar",1069,0.9121160409556314,825,"75.357449345",0.5369504209541625,0.32606060606060605,0.2516370439663237,0.20606060606060606,0.15902712815715622,"7.279101805",21,-14.939072415991514,244,0.22825070159027128,419,0.39195509822263797
686948,"Baldwin, Drake",778,0.9067599067599068,638,"75.302231992",0.5642673521850899,0.31191222570532917,0.25578406169665807,0.1896551724137931,0.15552699228791775,"7.184185013",9,-1.586438098260928,140,0.17994858611825193,316,0.40616966580976865
624413,"Alonso, Pete",1133,0.9085805934242182,858,"75.256778967",0.5339805825242719,0.3356643356643357,0.25419240953221534,0.22727272727272727,0.17210944395410416,"7.057215755",15,-3.5933965704253907,275,0.24271844660194175,433,0.382171226831421
